Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Aruba;1.292861938;1.285326958;1.252984643;1.279326439;1.500568032;1.251718879;1.242131352;1.254732013;1.227073789;0.891651392;0.883568704;0.893229365;0.917741597;1.05839169
Andorra;1.292861938;1.543034554;1.50825417;1.537209153;1.540095806;1.51803267;1.504689455;1.531355619;1.539396763;1.718335867;1.7872051;1.86058712;1.937282085;1.944975734
Afghanistan;-1.210829139;-1.430342913;-1.403351665;-1.496088862;-1.483899474;-1.454683423;-1.448487759;-1.360139608;-1.384929776;-1.331395626;-1.322968125;-1.226363301;-1.334610462;-1.457285285
Angola;-1.137153387;-1.369492531;-1.206412315;-1.062213182;-0.960353315;-1.117896199;-1.153555632;-0.989631712;-1.223171473;-1.123668909;-1.000103354;-1.035902977;-1.025312781;-1.052086353
Anguilla;1.558451772;1.543034554;1.50825417;1.537209153;1.540095806;1.51803267;1.504689455;1.531355619;1.539396763;0.952229023;1.007331967;1.328888297;0.83589983;0.830126941
Albania;-0.659452379;-0.523602188;-0.406624109;-0.356763661;-0.257898152;-0.282755494;-0.208206981;-0.267799705;-0.316919863;-0.085557945;0.010291068;0.013270382;0.083774075;0.114787988
Netherlands Antilles (former);1.027271986;0.769911587;0.742445588;0.76356101;0.761760235;0.749144018;0.741333902;0.747314274;0.752769649;;;;;
United Arab Emirates;0.710510254;0.943854511;0.923828661;0.876649439;0.990984559;0.89796114;1.055263042;1.149610043;1.176368117;1.435521245;1.509607673;1.415928006;1.415579915;1.431290984
Argentina;-0.124214523;-0.045504238;-0.015958933;-0.146811858;-0.318264842;-0.16279;-0.12005613;-0.23857522;-0.277548879;-0.159135252;-0.075008102;0.162129194;0.149541974;0.025987763
Armenia;-0.139913037;-0.254579186;-0.375843793;-0.172693923;-0.029734781;-0.183843538;-0.128958896;-0.042271338;0.069011472;-0.198050931;-0.160808787;-0.158175305;-0.104389362;-0.024339372
American Samoa;0.230502456;0.254496306;0.487175971;0.505678236;0.502315164;0.49284777;0.486882061;0.485967219;0.490560621;0.441491038;0.487416625;0.531340063;0.560554206;0.551414788
Antigua and Barbuda;0.453246981;0.416458994;0.405212432;0.505678236;0.502315164;0.49284777;0.486882061;0.485967219;0.490560621;-0.069246948;0.227458954;0.265490621;0.009863041;-0.006009565
Australia;1.751212955;1.711956024;1.825558782;1.79396975;1.705787301;1.768755913;1.69595015;1.621440053;1.639869452;1.607114673;1.56453371;1.568509459;1.535513997;1.596494913
Austria;1.684594631;1.831036448;1.870186687;1.780839682;1.666579604;1.841762662;1.617761374;1.57587254;1.588477135;1.572585702;1.47912693;1.511904955;1.461260676;1.453342438
Azerbaijan;-0.729437172;-0.653525293;-0.789176464;-0.773533463;-0.65811944;-0.806934357;-0.765148282;-0.782640159;-0.475038588;-0.363815427;-0.257368565;-0.165613234;-0.168250874;-0.100467414
Burundi;-1.249580622;-1.103346586;-1.268630385;-1.127049208;-1.046169996;-1.100945234;-1.063228846;-1.320103168;-1.064956784;-1.12914741;-1.184265018;-1.441686273;-1.341106534;-1.419981599
Belgium;1.711561441;1.747100949;1.608859658;1.389755607;1.571341515;1.575025916;1.656355858;1.602476358;1.607339144;1.381594181;1.438440561;1.326213479;1.181692719;1.171748161
Benin;-0.657626808;-0.60658884;-0.532690585;-0.462368071;-0.57548207;-0.594688594;-0.545896649;-0.51528728;-0.489440292;-0.456818074;-0.61963582;-0.564190269;-0.648204982;-0.565986633
Burkina Faso;-0.578771651;-0.762336969;-0.753419638;-0.489797771;-0.585571945;-0.568846405;-0.55904597;-0.623988986;-0.660841942;-0.578829587;-0.619458139;-0.564168572;-0.57994318;-0.578342915
Bangladesh;-0.911300302;-0.824527144;-0.704503596;-0.732424378;-0.791247904;-0.735632539;-0.755214989;-0.804165363;-0.793824732;-0.765750408;-0.723618865;-0.678658962;-0.733450353;-0.748399317
