Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Aruba;;;;;;;;;;;;;
Afghanistan;78.97008657;76.82497501;78.16998959;75.40338635;72.77924418;78.99665236;73.25516939;74.48620796;72.04786539;73.05592299;78.38229537;75.97433329;75.48257709
Angola;42.33265519;30.66570163;28.38397026;21.65323794;15.50890505;19.34375614;17.99380928;17.6191777;21.34927809;26.87616646;33.52316618;35.20893157;34.12101269
Albania;;;;;;;;;;;;;
Andorra;50.49583316;50.92135072;50.7032454;48.41379523;46.6113627;45.43219209;44.39961314;43.88948977;43.27659011;42.80395806;42.3558265;41.79089069;41.77705348
Arab World;34.93731516;34.07795287;34.62103309;34.59635015;31.35390042;33.04974003;30.83879859;31.49891481;30.69662781;28.96822339;31.4442055;32.06310482;38.30930147
United Arab Emirates;30.13918996;29.70960736;28.87625098;25.13651848;16.10036939;17.9457441;16.88403785;16.73880368;17.1557948;17.8078264;17.78964996;19.15773898;18.86744052
Argentina;33.06791484;31.60444498;29.26903069;25.6215632;22.53738791;19.70937252;17.99764931;14.11185265;14.4944191;14.55834955;13.78933191;15.98309577;15.01852721
Armenia;62.93591857;61.17357016;58.22918415;71.43701315;73.63292575;77.62413025;78.41966748;78.58729959;82.87557364;82.4813664;81.62987828;80.64687848;84.34807658
American Samoa;;;;;;;;;;;;;
Antigua and Barbuda;27.2046566;30.08434474;30.74154556;30.54154217;24.08895791;25.50686002;26.38317049;28.11950445;26.9559741;27.76048183;25.98371208;31.72703683;34.98488665
Australia;19.64298338;19.74958777;19.00250018;19.04173046;19.0527007;19.74927187;19.17252541;19.9342072;19.7154209;19.55827028;18.94660145;18.33779067;18.15210283
Austria;19.1832602;18.80627722;18.80613863;18.24393272;18.05128604;18.60162616;18.73956323;18.67409199;19.17125136;19.09817606;19.09111291;19.30112839;19.2032665
Azerbaijan;87.09971309;83.96854997;79.27516699;77.44327188;77.03319192;77.3955524;77.59210467;75.57213306;77.86141038;78.10548544;79.44632769;81.57103062;83.85614157
Burundi;35.17008722;34.81430709;35.70703566;35.95796824;31.6275537;28.20030749;25.47524273;22.69366384;21.08439505;29.92245257;30.82937002;25.21666884;25.4629761
Belgium;17.93370098;18.66180748;19.21070814;18.43404472;18.16453636;18.17270666;18.17521751;17.73408204;18.03226322;17.49034077;17.53991246;17.86475033;17.63822287
Benin;51.07798576;50.54692626;49.04190898;47.35903144;46.06668353;45.06617188;43.67434382;37.40644753;42.31209159;44.01254356;40.49658775;43.48329008;44.97992694
Burkina Faso;30.71225584;30.85259795;27.39347219;30.95701039;31.44069016;30.168733;32.88170099;32.38356709;33.53733122;34.07847583;36.02980077;31.38309419;31.67759478
Bangladesh;64.85486031;65.07526636;65.81632495;67.16353893;67.23670363;67.2104001;67.37222672;67.46909618;68.51466298;69.93145943;71.81633711;73.12600613;73.88473749
Bulgaria;38.867414;42.64740646;42.59270132;42.6291883;44.36734319;43.14134419;44.46372688;47.74680734;47.10148871;45.8127737;47.66826928;47.95404673;46.55256867
Bahrain;28.1925261;27.09490955;30.15912473;27.22068429;28.34785581;28.4604609;28.43585014;26.80392265;26.90460384;26.17599964;25.84038675;27.98785865;30.55217564
Bahamas, The;29.51084077;27.56047845;29.81061041;28.86936665;27.84377933;28.42274606;28.40172052;28.68724763;28.58025432;30.05292416;26.86096132;27.68524587;30.98246753
Bosnia and Herzegovina;45.20005882;44.99708712;44.27066743;43.91299486;30.61831594;30.075863;29.46848571;29.21257019;28.96248698;28.9667964;28.84111106;28.68273258;29.13931012
Belarus;21.78302556;24.38807935;25.79393983;29.84134257;30.91972172;29.16506827;33.58784318;30.77398241;33.79233778;34.89432335;36.2026155;26.71418488;27.5150001
Belize;30.14234006;28.25540304;25.79629421;25.2551198;23.84239286;23.90866876;24.50062484;25.31637847;24.33893979;24.01669025;23.14127386;23.54303449;24.15486276
Bermuda;;;;;;;;;;;;;
Bolivia;32.000193;32.26539493;30.76193631;30.36822975;30.09937704;33.27740133;32.50546455;34.35833752;34.00916457;30.90435863;27.32661664;28.02112103;25.07784665
Brazil;35.876441;34.37126577;33.09412003;30.88409305;31.21032119;29.3852061;29.29958403;29.68203127;28.17706764;28.18024755;28.44441533;27.40692198;27.45549381
Barbados;35.07393003;35.3816092;36.84221506;35.45526862;36.31339967;38.08009028;42.1882242;38.6069864;41.5833801;44.42222118;45.22994459;45.17970085;46.30357325
Brunei Darussalam;16.33396298;14.68852758;12.78499961;10.10823771;9.499402344;8.261349052;8.471868932;8.851929009;9.407419711;7.334599644;4.97357659;4.979815334;5.17660901
Bhutan;16.79038256;14.79103267;14.33664709;15.47424793;16.58108979;16.48263484;16.34392738;20.50640434;20.31390369;21.17123157;19.79465783;20.12969553;13.30646574
Botswana;8.827057481;8.287514001;6.772622466;5.815736577;5.423530564;4.993563145;4.573960602;4.240046442;3.784344345;3.717095405;3.577817604;3.307494149;2.993242256
Central African Republic;42.63030589;42.92166829;38.4525001;42.6107198;39.86817002;46.43595815;44.79361773;43.30779314;48.74460697;41.21004641;29.98105884;43.07941794;31.18909895
Canada;15.36829323;15.11857808;14.80204165;14.66703713;14.3118754;14.64707404;13.94955367;13.77405971;13.63234073;13.64677101;13.55412304;14.12830651;14.21975046
Central Europe and the Baltics;22.9161896;22.98265525;23.21317189;22.40419544;22.38140931;22.35346336;22.93298123;23.42209925;22.57865779;22.22390026;22.62179547;22.61831697;22.41601286
Switzerland;30.30704558;29.97010052;29.73951995;29.05845344;28.83857489;29.08069193;28.52466404;28.80406678;28.34824622;29.23769057;29.07631695;29.56175804;28.94698679
Channel Islands;;;;;;;;;;;;;
Chile;42.47086644;40.74997902;39.18727338;37.43042648;34.58893895;34.4676286;34.49926078;33.40764344;33.63831043;34.26873088;34.50925648;34.76994634;33.53418112
China;57.68999457;55.99118471;51.29120946;47.3682493;43.45622063;40.80001414;40.26554227;39.23458755;38.15951645;36.56483293;35.08928716;35.9061867;36.05041206
Cote d'Ivoire;61.12484932;62.79311776;63.33989501;59.38510299;59.6267581;58.51430297;59.20729637;52.79811621;56.15932345;51.14341974;42.86673367;40.14711082;39.36074376
Cameroon;76.5824914;77.09382176;76.65479779;78.7997663;74.41906929;71.73981071;51.44386292;70.26734948;71.40277624;70.87862492;69.74412203;69.66690421;70.95760107
Congo, Dem. Rep.;68.16099286;67.64258742;63.48213553;49.79074299;45.36221027;37.04969585;38.82510364;39.63495791;39.43296969;38.71640861;37.17883229;37.27769256;40.12472034
Congo, Rep.;51.97861195;48.68206978;49.15676117;37.85081208;50.37176013;42.15446711;41.09134674;29.73799109;30.65258563;31.18631542;32.46011734;46.21185958;48.40123951
Colombia;16.40795916;17.93336868;19.24852282;20.85273564;18.01454723;17.00355709;15.31575471;17.85855293;16.66926593;16.41655564;16.05920494;16.36622846;16.30842686
Comoros;80.21765947;80.71805239;81.08516335;80.98393679;81.51156306;78.73999476;70.39695382;78.21035385;76.42638683;76.71011686;75.2803266;72.66513109;74.64712858
Cabo Verde;24.59075451;23.79957438;22.91623205;24.45173562;24.22961593;28.08193266;25.89292824;24.56819117;24.25014526;25.69905221;27.75767148;28.71302366;28.89647782
Costa Rica;32.77381659;31.0769558;30.91247082;29.51094806;26.40224993;25.38431287;25.78322887;24.50274974;23.22566658;24.41330552;22.5992322;22.20295221;21.25539035
Caribbean small states;36.02160836;35.79232496;37.94930047;37.10147918;35.87119169;35.78920154;35.75068344;35.0200593;34.39128381;35.18797316;33.07959697;32.98705111;32.99456916
Cuba;14.84367549;14.2636627;9.783149511;8.837512881;8.099641651;9.181971103;10.81638038;13.13097328;12.27119043;9.638877213;9.62183103;10.28543487;10.48266366
Curacao;;;;;;;;;;;;;
Cayman Islands;;;;;;;;;;;;;
