Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Aruba;55.125;55.489;55.853;56.217;56.579;56.941;57.06;57.043;57.01;56.959;56.892;56.808;56.707;56.589
Afghanistan;77.297;77.093;76.887;76.68;76.472;76.263;76.052;75.84;75.627;75.413;75.197;74.98;74.75;74.505
Angola;44;43.236;42.476;41.718;40.966;40.217;39.472;38.732;37.998;37.269;36.554;35.851;35.161;34.486
Albania;53.269;52.185;51.098;50.009;48.924;47.837;46.753;45.67;44.613;43.577;42.566;41.579;40.617;39.681
Andorra;9.715;10.193;10.692;10.996;11.088;11.181;11.274;11.369;11.463;11.559;11.655;11.752;11.85;11.938
Arab World;45.52969045;45.13426182;44.85092428;44.42092426;43.99022995;43.55912081;43.20805211;42.90146256;42.59906151;42.30751987;41.96853332;41.65472452;41.35851631;41.07458111
United Arab Emirates;17.738;17.352;16.977;16.613;16.258;15.913;15.577;15.251;14.934;14.625;14.326;14.035;13.752;13.478
Argentina;9.969;9.8;9.634;9.47;9.309;9.151;9.01;8.879;8.751;8.623;8.497;8.373;8.251;8.13
Armenia;36.062;36.161;36.261;36.36;36.46;36.56;36.66;36.76;36.836;36.888;36.915;36.918;36.897;36.851
American Samoa;11.9;12;12.1;12.201;12.303;12.406;12.498;12.58;12.652;12.712;12.762;12.802;12.83;12.847
Antigua and Barbuda;70.782;71.394;71.998;72.595;73.182;73.762;74.297;74.474;74.65;74.825;75;75.154;75.287;75.401
Australia;15.418;15.3;15.178;15.057;14.937;14.818;14.7;14.598;14.498;14.398;14.299;14.2;14.096;13.988
Austria;41.187;41.468;41.751;42.034;42.317;42.601;42.885;42.853;42.664;42.474;42.285;42.095;41.906;41.703
Azerbaijan;47.611;47.411;47.21;47.01;46.81;46.594;46.363;46.117;45.855;45.578;45.286;44.979;44.657;44.32
Burundi;90.625;90.383;90.136;89.882;89.624;89.358;89.085;88.806;88.518;88.224;87.922;87.612;87.294;86.968
Belgium;2.597;2.546;2.495;2.445;2.397;2.349;2.302;2.256;2.211;2.167;2.124;2.081;2.039;1.999
Benin;59.457;58.951;58.442;57.931;57.42;56.907;56.392;55.875;55.358;54.834;54.305;53.771;53.232;52.688
Burkina Faso;78.463;77.661;77.004;76.466;75.921;75.367;74.804;74.233;73.654;73.066;72.47;71.866;71.257;70.642
Bangladesh;73.191;72.483;71.763;71.032;70.291;69.538;68.775;68.007;67.238;66.465;65.692;64.917;64.142;63.368
Bulgaria;29.416;29.068;28.722;28.378;28.037;27.698;27.362;27.025;26.687;26.349;26.01;25.671;25.331;24.992
Bahrain;11.578;11.548;11.512;11.47;11.421;11.366;11.305;11.238;11.165;11.085;11.001;10.91;10.814;10.713
Bahamas, The;17.782;17.74;17.698;17.657;17.615;17.573;17.524;17.468;17.404;17.332;17.254;17.168;17.075;16.975
Bosnia and Herzegovina;56.035;55.718;55.399;55.08;54.761;54.442;54.122;53.801;53.481;53.16;52.827;52.482;52.124;51.755
Belarus;27.646;27.184;26.727;26.274;25.828;25.328;24.812;24.303;23.801;23.307;22.819;22.339;21.866;21.405
Belize;54.687;54.704;54.721;54.738;54.755;54.772;54.772;54.754;54.718;54.665;54.594;54.505;54.399;54.276
Bermuda;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bolivia;35.83;35.372;34.918;34.465;34.016;33.57;33.126;32.685;32.301;31.953;31.607;31.262;30.92;30.575
Brazil;17.166;16.857;16.552;16.251;15.956;15.665;15.369;15.077;14.791;14.508;14.23;13.958;13.691;13.431
Barbados;67.159;67.354;67.549;67.744;67.937;68.13;68.3;68.447;68.571;68.672;68.751;68.807;68.841;68.853
Brunei Darussalam;26.837;26.471;26.108;25.748;25.392;25.039;24.69;24.344;24.003;23.668;23.337;23.01;22.688;22.371
Bhutan;69.035;68.288;67.531;66.764;65.99;65.207;64.415;63.629;62.851;62.082;61.322;60.572;59.833;59.105
Botswana;44.056;43.6;42.072;40.556;39.063;37.588;36.135;35.232;34.428;33.632;32.845;32.067;31.3;30.554
Central African Republic;61.931;61.807;61.661;61.494;61.306;61.096;60.865;60.612;60.337;60.041;59.723;59.382;59.02;58.636
Canada;19.878;19.787;19.604;19.422;19.242;19.063;18.904;18.863;18.822;18.782;18.741;18.7;18.65;18.589
Central Europe and the Baltics;38.29730778;38.23610455;38.15815457;38.07545945;38.01395312;37.97393498;37.93606551;37.91822303;37.90318626;37.88635486;37.85932754;37.81551568;37.75142998;37.66621755
Switzerland;26.522;26.496;26.47;26.444;26.419;26.393;26.369;26.347;26.326;26.304;26.282;26.261;26.239;26.203
Channel Islands;69.257;69.195;69.133;69.071;69.008;68.946;68.909;68.941;68.973;69.005;69.038;69.07;69.086;69.086
Chile;13.217;13.158;13.1;13.041;12.983;12.926;12.868;12.811;12.754;12.697;12.64;12.578;12.51;12.436
China;57.478;56.132;54.801;53.461;52.12;50.774;49.489;48.235;46.987;45.741;44.5;43.264;42.04;40.848
Cote d'Ivoire;54.766;54.348;53.929;53.509;53.09;52.67;52.249;51.828;51.407;50.986;50.556;50.119;49.674;49.221
Cameroon;51.459;50.857;50.254;49.65;49.046;48.441;47.836;47.231;46.627;46.024;45.422;44.821;44.223;43.626
Congo, Dem. Rep.;62.519;62.029;61.53;61.024;60.509;59.987;59.456;58.918;58.373;57.82;57.26;56.693;56.12;55.54
Congo, Rep.;39.012;38.559;38.107;37.654;37.2;36.744;36.288;35.831;35.373;34.915;34.457;33.999;33.541;33.084
Colombia;23.976;23.577;23.184;22.796;22.413;22.036;21.665;21.299;20.939;20.585;20.236;19.892;19.554;19.222
Comoros;72.125;72.137;72.133;72.114;72.079;72.027;71.96;71.877;71.777;71.662;71.53;71.381;71.216;71.035
Cabo Verde;42.311;41.471;40.637;39.806;38.984;38.179;37.678;37.179;36.683;36.19;35.7;35.216;34.739;34.268
Costa Rica;34.328;33.065;31.826;30.61;29.425;28.264;27.132;26.054;25.03;24.059;23.138;22.265;21.44;20.66
Caribbean small states;49.59067099;49.58349761;49.57756687;49.57251168;49.56960013;49.56594253;49.54376032;49.4819747;49.40868534;49.31986382;49.21531597;49.09360741;48.95537832;48.80063842
Cuba;23.866;23.773;23.68;23.587;23.495;23.403;23.311;23.219;23.173;23.139;23.104;23.07;23.023;22.963
Curacao;9.466;9.589;9.713;9.839;9.966;10.095;10.225;10.346;10.456;10.557;10.648;10.728;10.797;10.855
Cayman Islands;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cyprus;31.732;31.875;32.018;32.161;32.305;32.449;32.594;32.739;32.863;32.969;33.054;33.119;33.164;33.19
Czechia;26.398;26.467;26.537;26.606;26.676;26.745;26.815;26.803;26.71;26.616;26.523;26.43;26.325;26.208
Germany;24.02;23.821;23.622;23.425;23.229;23.034;22.84;22.83;22.82;22.81;22.8;22.776;22.739;22.688
Djibouti;23.239;23.193;23.147;23.101;23.056;23.001;22.936;22.862;22.778;22.686;22.583;22.472;22.352;22.223
Dominica;33.399;33.097;32.797;32.498;32.201;31.906;31.611;31.315;31.018;30.72;30.421;30.12;29.819;29.517
Denmark;14.144;13.902;13.707;13.513;13.346;13.205;13.043;12.858;12.708;12.59;12.474;12.358;12.243;12.126
Dominican Republic;32.63;31.29;29.98;28.7;27.458;26.247;25.173;24.198;23.251;22.33;21.434;20.564;19.723;18.926
Algeria;36.17;35.407;34.652;33.903;33.174;32.46;31.764;31.085;30.424;29.779;29.152;28.541;27.948;27.371
East Asia & Pacific (excluding high income);57.90698028;56.79510964;55.69540293;54.59092968;53.48606142;52.37988403;51.33852252;50.32501544;49.31835512;48.31444537;47.31496484;46.31869465;45.33074734;44.36668252
Early-demographic dividend;59.89273926;59.5229088;59.15067362;58.77075843;58.38691593;58.00093567;57.62234444;57.24199551;56.85752968;56.46923775;56.07134664;55.67366235;55.27450106;54.8703993
East Asia & Pacific;53.24457382;52.19065831;51.15568892;50.11429826;49.08255904;48.05466257;47.12311841;46.2259905;45.33634986;44.44762455;43.56157904;42.67883513;41.80448648;40.94812425
Europe & Central Asia (excluding high income);34.61771842;34.4287244;34.2367987;34.04586469;33.85981982;33.68535567;33.52775791;33.37235564;33.2143238;33.05333559;32.88798598;32.71799278;32.54330847;32.3640694
Europe & Central Asia;30.26293631;30.04977751;29.83500775;29.62324191;29.4226765;29.22900367;29.05311781;28.87844924;28.70628776;28.53446887;28.35546672;28.17125492;27.98333236;27.78980767
Ecuador;38.289;38.093;37.896;37.7;37.505;37.31;37.149;37.012;36.875;36.739;36.602;36.466;36.33;36.179
Egypt, Arab Rep.;56.973;56.927;56.922;56.942;56.961;56.981;57;57.054;57.107;57.161;57.215;57.268;57.295;57.296
Euro area;25.87002979;25.63216805;25.40337183;25.17685197;24.94910937;24.71830182;24.49097712;24.27630654;24.07087834;23.87190021;23.66073833;23.44703072;23.23008878;23.00828715
Eritrea;68.901;67.949;66.983;66;65.415;64.825;64.229;63.628;63.021;62.41;61.794;61.173;60.549;59.92
Spain;22.737;22.498;22.26;22.024;21.79;21.558;21.327;21.098;20.867;20.634;20.398;20.16;19.92;19.679
Estonia;31.265;31.393;31.521;31.649;31.777;31.906;32.035;32.026;31.878;31.731;31.584;31.437;31.283;31.12
Ethiopia;84.3;84.101;83.884;83.49;83.09;82.681;82.265;81.84;81.425;81.002;80.572;80.134;79.69;79.237
European Union;28.10006921;27.88335139;27.66360136;27.44496903;27.23658877;27.02767376;26.83194233;26.64311182;26.46059414;26.28215124;26.0918159;25.89492664;25.69313139;25.48504205
Fragile and conflict affected situations;60.88035228;60.47984703;60.1451928;59.71901369;59.28579941;58.83866952;58.42434566;58.02039164;57.61154915;57.20501095;56.76317681;56.33578835;55.91643569;55.49242757
Finland;17.095;16.963;16.832;16.701;16.571;16.23;15.687;15.159;14.875;14.825;14.775;14.725;14.675;14.618
Fiji;50.129;49.736;49.343;48.854;48.342;47.829;47.317;46.804;46.294;45.784;45.274;44.765;44.258;43.752
France;22.87;22.623;22.379;22.132;21.883;21.631;21.378;21.122;20.865;20.606;20.345;20.083;19.82;19.556
Faroe Islands;60.219;59.853;59.659;59.464;59.269;59.074;58.912;58.775;58.637;58.499;58.362;58.223;58.086;57.936
Micronesia, Fed. Sts.;77.67;77.676;77.683;77.689;77.695;77.702;77.695;77.676;77.645;77.601;77.544;77.474;77.392;77.297
Gabon;17.548;16.893;16.258;15.641;15.045;14.467;13.908;13.366;12.844;12.349;11.882;11.441;11.024;10.63
United Kingdom;20.085;19.801;19.521;19.243;18.969;18.698;18.43;18.163;17.898;17.635;17.374;17.114;16.857;16.602
Georgia;46.395;46.008;45.621;45.235;44.85;44.465;44.081;43.697;43.315;42.933;42.552;42.163;41.769;41.368
Ghana;52.692;52.012;51.331;50.649;49.969;49.287;48.606;47.927;47.252;46.581;45.914;45.251;44.593;43.94
Gibraltar;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guinea;67.743;67.461;67.178;66.894;66.609;66.322;66.034;65.745;65.455;65.164;64.859;64.54;64.207;63.86
Gambia, The;47.98;47.249;46.519;45.789;45.063;44.338;43.616;42.895;42.18;41.472;40.772;40.082;39.401;38.73
Guinea-Bissau;61.843;61.455;61.066;60.675;60.284;59.889;59.492;59.092;58.69;58.285;57.877;57.467;57.055;56.64
Equatorial Guinea;42.26;40.569;38.9;37.255;35.642;34.06;32.512;31;30.456;29.917;29.384;28.862;28.354;27.857
Greece;25.548;25.173;24.801;24.432;24.068;23.708;23.351;22.996;22.645;22.298;21.954;21.613;21.276;20.942
Grenada;64.105;64.111;64.117;64.123;64.129;64.135;64.141;64.131;64.104;64.062;64.003;63.928;63.836;63.728
Greenland;17.142;16.828;16.518;16.213;15.913;15.617;15.245;14.8;14.449;14.187;13.929;13.674;13.426;13.184
Guatemala;53.087;52.79;52.492;52.193;51.896;51.597;51.299;51;50.689;50.366;50.029;49.681;49.32;48.946
Guam;6.369;6.273;6.178;6.084;5.992;5.901;5.812;5.723;5.636;5.551;5.466;5.383;5.301;5.22
Guyana;72.178;72.418;72.657;72.895;73.131;73.366;73.6;73.6;73.6;73.586;73.559;73.518;73.462;73.394
High income;22.05088836;21.73340315;21.42833929;21.1302655;20.84715;20.57278322;20.36440831;20.18963955;20.02091929;19.85296395;19.67907118;19.50231267;19.32232683;19.14005229
Hong Kong SAR, China;0;0;0;0;0;0;0;0;0;0;0;0;0;0
