"Country","Year","R_multi","DDD_sys_commun","per_cap_US","GDP_total","GDP_health","Out_pocket_exp","income_pc","rural_pop","HDR","ctrl_corrup","GOV_effect","rule_law","total_pop"
"Austria",2006,0.040867751,12.5923,3880,40635.28182,9.53,18.80627722,41460,41.468,0.861,1.914531231,1.831036448,1.913556695,8268641
"Austria",2007,0.0409191396666667,12.9797,4473,46855.77175,9.53,18.80613863,44510,41.751,0.881,2.013397455,1.870186687,1.960128188,8295487
"Austria",2008,0.041088587,13.2868,5037,51708.76575,9.73,18.24393272,49110,42.034,0.884,1.843034983,1.780839682,1.922994852,8321496
"Austria",2009,0.033552049,13.6297,4909,47963.1794,10.23,18.05128604,49000,42.317,0.886,1.703024626,1.666579604,1.784890175,8343323
"Austria",2010,0.0409132103333333,13.1338,4796,46858.04327,10.22,18.60162616,49610,42.601,0.895,1.585461736,1.841762662,1.800300002,8363404
"Austria",2011,0.0567849326666667,12.6683,5161,51374.95841,10.03,18.73956323,50590,42.885,0.897,1.43189621,1.617761374,1.801554561,8391643
"Austria",2012,0.0557782416666667,12.1885,4966,48567.69529,10.2,18.67409199,50060,42.853,0.899,1.389730573,1.57587254,1.858178735,8429991
"Austria",2013,0.0499118796666667,14.1696,5234,50716.70871,10.29,19.17125136,50700,42.664,0.896,1.55079484,1.588477135,1.851382136,8479823
"Austria",2014,0.0429303843333333,12.0866,5386,51717.49594,10.37,19.09817606,50370,42.474,0.904,1.474734902,1.572585702,1.952464104,8546356
"Austria",2015,0.043341605,12.0588,4611,44178.04738,10.37,19.09111291,47450,42.285,0.906,1.519275665,1.47912693,1.855246663,8642699
"Austria",2016,0.0460156736666667,11.4237,4719,45237.80509,10.42,19.30112839,46220,42.095,0.909,1.548537016,1.511904955,1.814966559,8736668
"Austria",2017,0.0444363256666667,11.9188,4940,47549.07904,10.4,19.2032665,45150,41.906,0.912,1.526028633,1.461260676,1.81247282,8797566
"Austria",2018,0.0463703963333333,10.4153,4940,51525.04643,10.4,19.2032665,49400,41.703,0.914,1.59649229,1.453342438,1.874770164,8840521
"Belgium",2006,0.010091743,21.82642083,3474,38672.70594,8.91,18.66180748,39900,2.546,0.896,1.309614301,1.747100949,1.236090422,10547958
"Belgium",2007,0.011173184,20.9591,3989,44262.896,8.95,19.21070814,42700,2.495,0.899,1.355734944,1.608859658,1.330672145,10625700
"Belgium",2008,0.002024291,22.6763,4540,48106.89292,9.34,18.43404472,46470,2.445,0.899,1.374890208,1.389755607,1.345494866,10709973
"Belgium",2009,0.0342972593333333,22.1649,4567,44583.54481,10.14,18.16453636,46840,2.397,0.899,1.460205913,1.571341515,1.384072661,10796493
"Belgium",2010,0.0229045533333333,23.1055,4450,44141.87814,9.97,18.17270666,46950,2.349,0.903,1.527498484,1.575025916,1.393127918,10895586
"Belgium",2011,0.061004032,23.6027,4856,47348.52502,10.14,18.17521751,46400,2.302,0.904,1.575072408,1.656355858,1.418425918,11038264
"Belgium",2012,0.0647967256666667,23.9409,4615,44673.11588,10.27,17.73408204,47100,2.256,0.905,1.608068228,1.602476358,1.427129149,11106932
"Belgium",2013,0.0725728973333333,22.5706,4850,46744.66254,10.37,18.03226322,47880,2.211,0.908,1.673882127,1.607339144,1.43843472,11159407
"Belgium",2014,0.067491258,22.3619,4944,47700.54036,10.41,17.49034077,47800,2.167,0.91,1.573291898,1.381594181,1.52343905,11209057
"Belgium",2015,0.058070523,22.751,4171,40991.80814,10.28,17.53991246,45540,2.124,0.913,1.57330668,1.438440561,1.463494301,11274196
"Belgium",2016,0.064502224,22.531,4279,41998.33575,10.3,17.86475033,43440,2.081,0.915,1.638705134,1.326213479,1.390964746,11331422
"Belgium",2017,0.062053813,21.1439,4507,44288.50804,10.34,17.63822287,42750,2.039,0.917,1.497134089,1.181692719,1.3434273,11375158
"Belgium",2018,0.060654303,20.7657,4507,47491.32326,10.34,17.63822287,45940,1.999,0.919,1.510498047,1.171748161,1.367054224,11427054
"Bulgaria",2006,0.181135522333333,15.2938,294.1,4523.050833,6.57,42.64740646,4300,29.068,0.756,-0.070736267,-0.057375778,-0.093535163,7601022
"Bulgaria",2007,0.215704433333333,16.7311,361.2,5885.104348,6.16,42.59270132,4810,28.722,0.764,-0.183496863,-0.007542833,-0.045955181,7545338
"Bulgaria",2008,0.356970915333333,17.4905,455.5,7265.735497,6.29,42.6291883,6070,28.378,0.771,-0.254679352,-0.047309104,-0.107263453,7492561
