Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Austria;12.8291;12.5923;12.9797;13.2868;13.6297;13.1338;12.6683;12.1885;14.1696;12.0866;12.0588;11.4237;11.9188;10.4153
Belgium;20.4325;21.82642083;20.9591;22.6763;22.1649;23.1055;23.6027;23.9409;22.5706;22.3619;22.751;22.531;21.1439;20.7657
Bulgaria;15.5519;15.2938;16.7311;17.4905;15.9105;15.8428;16.9587;16.1092;17.2952;18.6023;18.8214;17.6417;18.9446;19.3704
Croatia;21.1324;19.36;20.4561;20.7704;19.386;17.1814;16.5239;18.2616;17.6101;17.7681;18.0325;17.0664;16.8271;17.001
Cyprus;;27.1439;28.6548;28.6932;29.1558;26.2621;26.8634;25.0928;23.9493;22.1873;26.593;28.3696;28.8781;
Czechia;15.5538;14.4593;14.8717;15.8673;16.6193;16.0064;16.5068;15.663;16.8961;17.1151;17.3704;;;
Denmark;14.1814;14.7169;15.3522;15.0695;15.0173;15.8742;16.689;15.7027;15.6578;15.1744;15.3071;15.1637;14.3332;13.688
Estonia;10.3873;10.0151;10.6948;10.4557;9.7171;9.811;10.746;10.3479;10.3255;10.2215;10.5025;10.3826;9.9409;10.2474
Finland;16.9696;16.355;17.1153;16.4782;16.5638;17.0141;18.5545;17.983;16.9272;16.5944;15.7626;15.0338;13.5916;13.1898
France;24.3146;23.2338;23.8414;23.3297;24.4043;23.2071;23.352;24.0061;24.1306;23.1241;23.792;23.8742;22.9691;23.5587
Germany;13.5382;12.5741;13.3267;13.4535;13.7802;13.3884;13.085;13.6955;14.4872;13.3729;13.1123;12.8394;12.3406;11.8748
Greece;31.14;36.8892;38.8897;40.3944;34.5956;35.558;31.6285;28.1955;27.99;29.1725;31.2566;30.9553;32.1485;32.387
Hungary;17.1143;15.0498;13.4094;13.4216;13.8559;13.6198;13.7978;12.996;13.3688;14.0211;14.697;13.3326;13.4288;13.6897
Iceland;20.8906;17.8008;17.069;18.4473;17.1614;19.8185;19.8122;19.6668;19.4375;17.1125;17.5867;18.1668;18.844;20.4498
Ireland;17.7378;18.3497;19.7032;19.309;17.7884;17.3857;19.209;19.4568;20.0484;19.5123;21.2936;20.3775;19.35;20.8627
Italy;22.0954;22.3112;22.8722;23.5944;23.7273;23.0233;23.0974;22.5146;23.3234;22.6266;22.3836;21.8364;19.0155;19.4968
Latvia;10.74;9.7471;10.4864;9.6946;9.3298;9.9464;10.7763;10.9601;11.3423;10.624;11.1386;11.0567;12.0534;11.4286
Lithuania;;22.0863;19.7204;20.996;16.1981;14.411;15.4814;13.2688;15.1148;13.126;13.636;13.5114;13.5566;15.4257
Luxembourg;22.5546;21.2929;23.0678;22.9926;23.7525;23.1935;23.3347;23.1448;23.1353;21.5989;21.8471;21.3645;20.9298;20.6867
Malta;;;15.0163;17.893;18.6035;18.0963;20.0757;19.4984;20.6661;20.4509;18.7583;18.3857;19.7945;18.5797
Netherlands;9.3726;9.6807;9.8592;10.0085;10.1139;10.008;10.1292;10.0884;9.6108;9.4164;9.4898;9.2481;8.9412;8.8975
Norway;16.4117;14.5082;15.1596;15.2127;14.8862;15.4061;16.1062;16.5331;15.8313;15.5436;15.4323;14.8937;14.3658;13.9812
Poland;17.1904;;18.7066;17.414;20.0809;17.9982;18.2179;19.8787;20.4971;19.8834;22.8069;20.7318;23.7883;23.0221
Portugal;20.6831;19.0999;;18.99;19.134;18.612;19.2262;18.7098;16.0974;16.5963;17.3372;17.5384;16.3669;17.1966
Romania;;;;;9.6463;;26.4766;25.9402;26.7645;26.6204;28.0473;24.4245;24.5039;24.9563
Slovakia;22.3062;19.9432;22.0702;20.7425;21.2578;;21.3669;17.8643;21.13;18.8789;21.9847;21.3015;18.5209;20.214
Slovenia;13.8169;12.4595;13.4478;12.6229;11.9269;11.8137;11.8791;11.783;11.907;11.6207;11.855;10.6526;10.7356;11.6613
Spain;15.4741;14.9631;15.9434;15.7652;15.6735;16.194;16.597;15.6555;16.1563;17.0698;17.4888;25.6276;25.0078;24.3111
Sweden;14.4845;14.9508;15.0706;14.2216;13.6945;13.7565;13.8858;13.7087;12.65;12.4811;11.9241;11.6734;11.2584;10.7826
United Kingdom;13.5968;13.5192;14.4717;14.9073;15.1974;16.4634;16.5041;17.661;18.3145;18.5446;17.8977;17.452;17.0555;16.2974
