Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Aruba;1.278152943;1.25953114;1.269964576;1.288655162;1.11636126;1.127208591;1.109980702;1.10297966;1.126604676;1.018918037;1.297110558;1.285848498;1.291657567;1.252210736
Andorra;1.278152943;1.25953114;1.269964576;1.288655162;1.325579286;1.308071971;1.279276848;1.268372536;1.260797977;1.225221634;1.218501806;1.228778601;1.242228389;1.23879683
Afghanistan;-1.443609238;-1.432889819;-1.587331414;-1.638286591;-1.534796;-1.635723472;-1.57917881;-1.41988802;-1.436761141;-1.354784489;-1.341994166;-1.52635169;-1.517360806;-1.496834159
Angola;-1.296138883;-1.220061183;-1.289693236;-1.284620643;-1.404654503;-1.325729966;-1.344286561;-1.268586993;-1.309700489;-1.443890452;-1.394778252;-1.439703465;-1.412505865;-1.144679189
Anguilla;1.278152943;1.25953114;1.269964576;1.288655162;1.325579286;1.308071971;1.279276848;1.268372536;1.260797977;1.225221634;1.218501806;1.228778601;1.242228389;1.23879683
Albania;-0.786193073;-0.803845048;-0.687789023;-0.593706608;-0.538495123;-0.525077939;-0.683008373;-0.72650075;-0.698603272;-0.548198819;-0.479032844;-0.405265957;-0.418315113;-0.521921396
Netherlands Antilles (former);1.278152943;1.25953114;1.269964576;1.288655162;0.839033186;0.820522785;0.798508227;0.787527919;0.785368562;;;;;
United Arab Emirates;0.998800993;0.893287182;1.013516188;1.082438588;0.912934482;0.896253645;1.077532411;1.163515806;1.280843616;1.203577995;1.071927071;1.171708584;1.133616567;1.151778698
Argentina;-0.388192415;-0.341253698;-0.340291649;-0.435576528;-0.444996059;-0.361469239;-0.366157889;-0.443139851;-0.432282001;-0.541620135;-0.547057748;-0.284041256;-0.255950153;-0.070269272
Armenia;-0.674141288;-0.670822501;-0.742384374;-0.708097577;-0.619757712;-0.696304202;-0.656885028;-0.58778739;-0.531947136;-0.523998499;-0.533823669;-0.571954489;-0.560463846;-0.349144131
American Samoa;0.796942115;0.305987746;0.313636512;0.32526949;0.352487057;0.33297351;0.317739636;0.306683242;0.309939086;1.225221634;1.218501806;1.228778601;1.840551853;1.845797896
Antigua and Barbuda;0.749995589;1.12754488;1.154757142;1.288655162;1.325579286;1.308071971;1.279276848;1.268372536;1.260797977;0.63990289;0.689632535;0.693748534;0.242084682;0.276687413
Australia;1.952358246;1.960568428;2.010918379;2.042481899;2.051661491;2.03145504;2.044636965;1.985773921;1.785321593;1.853449464;1.882112861;1.816115141;1.795070052;1.806459665
Austria;1.922060013;1.914531231;2.013397455;1.843034983;1.703024626;1.585461736;1.43189621;1.389730573;1.55079484;1.474734902;1.519275665;1.548537016;1.526028633;1.59649229
Azerbaijan;-1.044909954;-1.089759469;-1.122894764;-1.148547888;-1.188453794;-1.243801594;-1.178858161;-1.126894116;-0.966777384;-1.018747091;-0.929980576;-0.838503897;-0.885357499;-0.828699112
Burundi;-0.930024207;-1.095597506;-1.160764337;-1.090768337;-1.129477143;-1.165456772;-1.187131405;-1.452942967;-1.409684777;-1.258652925;-1.257520437;-1.245702267;-1.28389132;-1.450812697
