Country Name;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Aruba;19200;23340;21680;25510;23770;22370;22450;23520;24420;25190;26250;26560;26810;
Afghanistan;;;;;450;510;530;630;660;630;600;570;560;550
Angola;1370;1810;2460;3030;3170;3240;3420;4170;4780;5010;4520;3770;3450;3210
Albania;2620;3050;3460;4030;4280;4360;4410;4360;4540;4540;4390;4320;4290;4860
Andorra;;;;;;;;;;;;;;
Arab World;3509.175523;4018.434699;4630.110842;5436.799127;5510.018622;5778.322591;6048.061458;6984.215993;7483.010419;7522.738925;7042.873351;6583.828058;6082.668627;6279.674858
United Arab Emirates;37500;39380;39590;39910;35000;33400;35030;39220;42840;44330;42860;40570;39290;41470
Argentina;4260;5480;6510;7670;7790;9270;10710;11870;12840;12330;12570;12220;13120;12390
Armenia;1540;2020;2760;3600;3340;3470;3530;3880;4110;4140;4010;3760;3950;4230
American Samoa;;;;;;;;;;;;;;
Antigua and Barbuda;12410;13800;15070;15230;13560;12690;12370;12780;12610;12730;12970;13460;14440;15890
Australia;30310;34090;37300;42330;44050;46630;50320;60210;66020;65150;60500;54140;51600;53250
Austria;38720;41460;44510;49110;49000;49610;50590;50060;50700;50370;47450;46220;45150;49400
Azerbaijan;1270;1900;2710;3870;4790;5370;5460;6410;7410;7690;6570;4760;4090;4060
Burundi;140;150;170;190;200;220;230;250;260;260;260;270;280;280
Belgium;37730;39900;42700;46470;46840;46950;46400;47100;47880;47800;45540;43440;42750;45940
Benin;820;860;920;1030;1080;1080;1090;1120;1220;1270;1180;1110;1090;1200
Burkina Faso;;;;;;;;;;;700;660;680;760
Bangladesh;550;570;610;660;730;800;890;970;1040;1110;1220;1370;1520;1750
Bulgaria;3800;4300;4810;6070;6670;6940;7220;7430;7590;7740;7450;7430;7640;8910
Bahrain;16550;17890;19660;20860;18830;18970;18160;22010;23790;24070;22660;21610;21180;21900
Bahamas;29270;30570;30760;31090;30960;29010;28370;28030;29020;28380;27720;28300;28910;29930
Bosnia and Herzegovina;3180;3510;3920;4730;4970;4950;5010;4990;5270;5300;5210;5130;5110;5740
Belarus;2810;3520;4310;5500;5700;6150;6260;6610;7010;7590;6710;5620;5300;5700
Belize;3620;3740;3670;3880;4050;3880;4050;4100;4180;4230;4400;4340;4310;4450
Bermuda;;;117640;120490;111580;110440;107530;106080;106140;;;;;
Bolivia;1020;1110;1220;1480;1620;1780;1990;2250;2590;2830;2960;3040;3090;3370
Brazil;4000;4850;6190;7620;8320;9650;11080;12310;12790;12120;10190;8920;8700;9080
Barbados;13240;14220;15530;16180;15730;15540;15050;15720;15660;15630;15740;15920;16070;16700
Brunei Darussalam;23090;27580;30930;34150;32460;33300;35520;42370;45320;43090;38850;33170;29800;29390
Bhutan;1200;1330;1640;1770;1860;2040;2240;2390;2410;2460;2520;2650;2800;2970
Botswana;4940;5440;5730;5740;5330;5610;6610;7260;7580;7530;6840;6570;6730;7410
Central African Republic;340;350;380;420;480;510;530;570;380;390;400;410;440;490
Canada;34800;38500;43080;45640;43230;44480;47180;51000;52770;52180;47570;43870;42990;45000
Central Europe and the Baltics;7732.287292;8864.69479;10338.39938;12380.91616;12751.54093;12788.7669;12944.01372;13110.46621;13454.16159;13593.79945;13258.38279;12832.18559;13030.99113;14614.50397
Switzerland;61620;63990;62830;63190;70370;77570;79720;84880;88740;86560;85800;82110;81120;84430
Channel Islands;56270;60750;66230;;;;;;;;;;;
Chile;6210;7340;8690;10050;9950;10750;12340;14350;15160;14940;14130;13370;13270;14620
China;1760;2060;2510;3100;3680;4340;5050;5930;6770;7510;7940;8270;8740;9620
Cote d'Ivoire;930;930;960;1070;1160;1190;1120;1230;1330;1450;1660;1840;2030;2180
Cameroon;1010;1060;1110;1240;1320;1330;1350;1370;1430;1490;1440;1380;1340;1440
Congo;190;200;230;260;290;300;320;340;380;410;440;460;470;460
Congo;770;950;1180;1350;1790;1880;2120;2120;2390;2490;2590;2420;1820;1510
Colombia;3000;3500;4130;4710;5130;5620;6310;7290;7950;8190;7330;6460;5930;6260
Comoros;1090;1130;1160;1290;1370;1380;1400;1420;1490;1490;1380;1320;1280;1380
Cabo Verde;2160;2300;2820;3300;3480;3400;3510;3440;3490;3360;3210;3130;3080;3400
Costa Rica;4620;5030;5640;6370;6490;7180;8000;9150;9740;10090;10400;10770;11150;11590
Caribbean small states;6844.199885;7576.807314;8249.478956;9047.911358;8680.200358;8779.673365;8633.258491;9326.26229;9743.191866;9689.560971;9717.857924;9144.178686;9073.303958;9333.846496
Cuba;3960;4530;5000;5460;5520;5610;5930;6280;6640;6840;7230;7480;;
Curacao;;;;;;;;;19930;19820;19620;19100;19100;19610
