"Bacteria","Country","Region","Code","Year","R_multi"
"Escherichia coli","Austria","Western","AT",2006,0.0245098039
"Escherichia coli","Belgium","Western","BE",2006,0.0100917431
"Escherichia coli","Bulgaria","Eastern","BG",2006,0.1639344262
"Escherichia coli","Cyprus","Southern","CY",2006,0.0674157303
"Escherichia coli","Czechia","Eastern","CZ",2006,0.0145131086
"Escherichia coli","Germany","Western","DE",2006,0.0189125295
"Escherichia coli","Denmark","Northern","DK",2006,0.0076470588
"Escherichia coli","Estonia","Northern","EE",2006,0
"Escherichia coli","Greece","Southern","EL",2006,0.0216346153
"Escherichia coli","Spain","Southern","ES",2006,0.0184798807
"Escherichia coli","Finland","Northern","FI",2006,0.0100390407
"Escherichia coli","France","Western","FR",2006,0.0093599033
"Escherichia coli","Croatia","Southern","HR",2006,0.0077319587
"Escherichia coli","Hungary","Eastern","HU",2006,0.029245283
"Escherichia coli","Ireland","Northern","IE",2006,0.0087336244
"Escherichia coli","Iceland","Northern","IS",2006,0
"Escherichia coli","Italy","Southern","IT",2006,0.0234741784
"Escherichia coli","Lithuania","Northern","LT",2006,0.0116959064
"Escherichia coli","Luxembourg","Western","LU",2006,0.0179640718
"Escherichia coli","Latvia","Northern","LV",2006,0.0166666666
"Escherichia coli","Malta","Southern","MT",2006,0.0425531914
"Escherichia coli","Netherlands","Western","NL",2006,0.0115964437
"Escherichia coli","Norway","Northern","NO",2006,0.0033898305
"Escherichia coli","Poland","Eastern","PL",2006,0.0292682926
"Escherichia coli","Portugal","Southern","PT",2006,0.0687146321
"Escherichia coli","Romania","Eastern","RO",2006,0.2702702702
"Escherichia coli","Sweden","Northern","SE",2006,0.004649721
"Escherichia coli","Slovenia","Southern","SI",2006,0.0097629009
"Escherichia coli","United Kingdom","Northern","UK",2006,0.0223186608
"Escherichia coli","Austria","Western","AT",2007,0.0259170653
"Escherichia coli","Belgium","Western","BE",2007,0.0111731843
"Escherichia coli","Bulgaria","Eastern","BG",2007,0.088
