"Bacteria","Country","Region","Code","Year","R_multi","DDD_sys_commun","per_cap_US","GDP_total","GDP_health","Out_pocket_exp","income_pc","rural_pop","HDR","ctrl_corrup","GOV_effect","rule_law","total_pop"
"Escherichia coli","Austria","Western","AT",2006,0.024509804,12.5923,3880,40635.28182,9.53,18.80627722,41460,41.468,0.861,1.914531231,1.831036448,1.913556695,8268641
"Escherichia coli","Belgium","Western","BE",2006,0.010091743,21.82642083,3474,38672.70594,8.91,18.66180748,39900,2.546,0.896,1.309614301,1.747100949,1.236090422,10547958
"Escherichia coli","Bulgaria","Eastern","BG",2006,0.163934426,15.2938,294.1,4523.050833,6.57,42.64740646,4300,29.068,0.756,-0.070736267,-0.057375778,-0.093535163,7601022
"Escherichia coli","Cyprus","Southern","CY",2006,0.06741573,27.1439,1474,26729.3234,5.46,48.32824767,25600,31.875,0.836,1.093416214,1.26732409,1.105020881,1045507
"Escherichia coli","Czechia","Eastern","CZ",2006,0.014513109,14.4593,942.1,15183.63605,6.2,11.64602414,13950,26.467,0.843,0.35658446,1.096460104,0.87264353,10238905
"Escherichia coli","Germany","Western","DE",2006,0.01891253,12.5741,3684,36323.44774,10.12,14.49688375,38230,23.821,0.91,1.803052306,1.650242805,1.783432961,82376451
"Escherichia coli","Denmark","Northern","DK",2006,0.007647059,14.7169,4779,52026.99951,9.17,14.52642977,53540,13.902,0.905,2.46999073,2.226260185,1.997571826,5437272
"Escherichia coli","Estonia","Northern","EE",2006,0,10.0151,600.5,12631.56777,4.78,23.16620201,11500,31.393,0.832,1.020036578,1.157150984,1.140900135,1346810
"Escherichia coli","Greece","Southern","EL",2006,0.021634615,36.8892,2064,24801.15781,8.31,35.81883311,24550,25.173,0.851,0.363785923,0.636947989,0.873663366,11020362
"Escherichia coli","Spain","Southern","ES",2006,0.018479881,14.9631,2228,28365.31349,7.75,21.27019912,27820,22.498,0.848,1.185721397,0.83720243,1.131011367,44397319
"Escherichia coli","Finland","Northern","FI",2006,0.010039041,16.355,3286,41188.0937,8.01,19.72095817,42800,16.963,0.899,2.464972258,2.17011404,1.973504543,5266268
"Escherichia coli","France","Western","FR",2006,0.009359903,23.2338,3813,36443.62344,10.4,9.343630075,37850,22.623,0.865,1.463726521,1.632802367,1.474471927,63621381
"Escherichia coli","Croatia","Southern","HR",2006,0.007731959,19.36,816,11703.33789,6.98,13.3146584,11310,45.517,0.794,0.078596674,0.571395218,0.00607663,4311159
"Escherichia coli","Hungary","Eastern","HU",2006,0.029245283,15.0498,893.2,11475.82271,7.81,25.0464052,11250,33.105,0.811,0.658724189,0.872900426,0.997733533,10071370
"Escherichia coli","Ireland","Northern","IE",2006,0.008733624,18.3497,4143,54306.42932,7.51,13.92956227,47910,39.262,0.895,1.710350394,1.536328793,1.722036839,4273591
"Escherichia coli","Iceland","Northern","IS",2006,0,17.8008,5072,56673.60244,8.83,16.60773754,53610,6.841,0.893,2.183154345,1.893597007,1.895821095,303782
"Escherichia coli","Italy","Southern","IT",2006,0.023474178,22.3112,2830,33501.65817,8.46,21.31744474,34250,32.144,0.862,0.483804554,0.364740819,0.38762024,58143979
"Escherichia coli","Lithuania","Northern","LT",2006,0.011695906,22.0863,536.1,9240.642548,5.84,31.85560703,8820,33.294,0.819,0.161695048,0.726338387,0.716303349,3269909
"Escherichia coli","Luxembourg","Western","LU",2006,0.017964072,21.2929,6065,89739.7117,6.71,13.37627918,71580,12.991,0.884,1.882663846,1.571361542,1.699837685,472637
"Escherichia coli","Latvia","Northern","LV",2006,0.016666667,9.7471,552.3,9663.373451,5.74,35.59818268,8880,32.033,0.809,0.369864076,0.685126245,0.669317961,2218357
"Escherichia coli","Malta","Southern","MT",2006,0.042553191,15.0163,1474,16671.5672,8.84,29.62184846,16300,6.216,0.826,1.010356903,1.025021791,1.568243623,405308
"Escherichia coli","Netherlands","Western","NL",2006,0.011596444,9.6807,4077,44863.35063,9.08,8.327053487,45910,16.364,0.897,2.050478697,1.788717747,1.783091784,16346101
"Escherichia coli","Norway","Northern","NO",2006,0.003389831,14.5082,5893,74148.32008,7.92,16.4525494,69990,22.05,0.936,2.133688211,1.879103065,1.979784608,4660677
"Escherichia coli","Poland","Eastern","PL",2006,0.029268293,18.7066,524.1,9038.654807,5.8,27.3152113,8470,38.659,0.813,0.274150729,0.373784333,0.404506028,38141267
"Escherichia coli","Portugal","Southern","PT",2006,0.068714632,19.0999,1813,19822.84603,9.14,25.13699532,19390,41.863,0.803,1.01692152,0.874538302,0.985909998,10522288
"Escherichia coli","Romania","Eastern","RO",2006,0.27027027,9.6463,291,5757.496429,5.07,19.99056488,4900,46.695,0.766,-0.163892508,-0.210183203,-0.117874376,21193760
"Escherichia coli","Sweden","Northern","SE",2006,0.004649721,14.9508,3789,46593.60216,8.15,17.03516543,48820,15.57,0.902,2.196596384,1.80431509,1.864799023,9080505
"Escherichia coli","Slovenia","Southern","SI",2006,0.009762901,12.4595,1542,19672.96549,7.8,12.27804348,19820,48.242,0.868,1.034196496,0.963559985,0.910226941,2006868
"Escherichia coli","United Kingdom","Northern","UK",2006,0.022318661,13.5192,3252,44599.69757,7.31,10.18192694,45230,19.801,0.889,1.79232657,1.670994282,1.785749197,60846820
"Escherichia coli","Austria","Western","AT",2007,0.025917065,12.9797,4473,46855.77175,9.53,18.80613863,44510,41.751,0.881,2.013397455,1.870186687,1.960128188,8295487
"Escherichia coli","Belgium","Western","BE",2007,0.011173184,20.9591,3989,44262.896,8.95,19.21070814,42700,2.495,0.899,1.355734944,1.608859658,1.330672145,10625700
"Escherichia coli","Bulgaria","Eastern","BG",2007,0.088,16.7311,361.2,5885.104348,6.16,42.59270132,4810,28.722,0.764,-0.183496863,-0.007542833,-0.045955181,7545338
"Escherichia coli","Cyprus","Southern","CY",2007,0.055045871,28.6548,1694,31244.92622,5.36,48.79761338,27340,32.018,0.844,1.080966115,1.427616119,1.119864106,1063713
"Escherichia coli","Czechia","Eastern","CZ",2007,0.024522028,14.8717,1110,18373.649,6.02,13.63102496,15780,26.537,0.85,0.30260253,0.895334065,0.905903339,10298828
"Escherichia coli","Germany","Western","DE",2007,0.021671827,13.3267,4167,41587.2129,9.97,14.43142295,40440,23.622,0.914,1.735840321,1.637843847,1.772996068,82266372
"Escherichia coli","Denmark","Northern","DK",2007,0.011627907,15.3522,5468,58487.05497,9.33,14.56182599,55740,13.707,0.904,2.446026087,2.353997707,2.013730049,5461438
"Escherichia coli","Estonia","Northern","EE",2007,0.004950495,10.6948,832.7,16741.93912,5.03,22.65051454,13420,31.521,0.839,1.003259063,1.03731823,1.173004985,1340680
"Escherichia coli","Greece","Southern","EL",2007,0.030154849,38.8897,2439,28827.32636,8.45,34.00274515,26350,24.801,0.849,0.26738295,0.557945132,0.872375548,11048473
"Escherichia coli","Spain","Southern","ES",2007,0.023861766,15.9434,2587,32549.97098,7.83,21.03814483,29740,22.26,0.853,1.0866431,0.993321776,1.168316364,45226803
"Escherichia coli","Finland","Northern","FI",2007,0.011840689,17.1153,3775,48414.84509,7.83,19.82014626,46160,16.832,0.901,2.40054965,1.974781752,1.914935946,5288720
"Escherichia coli","France","Western","FR",2007,0.011513583,23.8414,4315,41508.43399,10.33,9.506957978,40130,22.379,0.867,1.464608192,1.471042156,1.472338557,64016225
"Escherichia coli","Croatia","Southern","HR",2007,0.010465116,20.4561,1041,13962.84757,7.47,12.39423603,12700,45.349,0.801,0.091828354,0.474211425,0.087641433,4310217
"Escherichia coli","Hungary","Eastern","HU",2007,0.027288732,13.4094,1003,13918.96019,7.22,27.01435387,11790,32.579,0.814,0.622805893,0.70847553,0.96417439,10055780
"Escherichia coli","Ireland","Northern","IE",2007,0.013904983,19.7032,4852,61359.74138,7.8,11.5712367,50530,39.06,0.899,1.7485919,1.560755491,1.745495081,4398942
"Escherichia coli","Iceland","Northern","IS",2007,0,17.069,6085,69054.27079,8.63,16.04090184,61930,6.722,0.899,2.208235979,1.795479417,1.845549464,311566
"Escherichia coli","Italy","Southern","IT",2007,0.054209919,22.8722,3088,37822.66524,8.16,21.51615471,35900,32.026,0.866,0.336824447,0.197625935,0.478748947,58438310
"Escherichia coli","Lithuania","Northern","LT",2007,0.030172414,19.7204,704.3,12297.91535,5.76,28.40399444,10620,33.223,0.826,0.13014929,0.701870203,0.726696849,3231294
"Escherichia coli","Luxembourg","Western","LU",2007,0.018382353,23.0678,6662,106018.4928,6.23,10.30742005,86210,12.591,0.888,1.971466184,1.592555285,1.765278339,479993
"Escherichia coli","Latvia","Northern","LV",2007,0.052631579,10.4864,807,14042.46242,5.77,39.3208921,11160,32.1,0.818,0.352403969,0.480013371,0.759256601,2200325
"Escherichia coli","Malta","Southern","MT",2007,0.102564103,15.0163,1596,19375.5696,8.22,31.07822537,17730,6.143,0.831,1.023427129,1.206339955,1.629644036,406724
"Escherichia coli","Netherlands","Western","NL",2007,0.012555691,9.8592,4690,51733.44213,9.05,7.888962328,49110,15.461,0.904,2.169936895,1.728332758,1.787349582,16381696
"Escherichia coli","Norway","Northern","NO",2007,0.006666667,15.1596,6896,85139.96045,8.05,16.07217342,78500,21.766,0.938,1.992581248,2.024723053,1.946529388,4709153
"Escherichia coli","Poland","Eastern","PL",2007,0.0078125,18.7066,660.9,11255.37983,5.87,26.67068243,9970,38.771,0.819,0.299163818,0.387233764,0.428653359,38120560
"Escherichia coli","Portugal","Southern","PT",2007,0.057228916,18.7196952192026,2067,22782.09462,9.07,25.67330897,20850,41.251,0.81,1.036280632,0.900741637,1.016892791,10542964
"Escherichia coli","Romania","Eastern","RO",2007,0.206896552,20.8520947025616,415.1,8360.166321,5.02,17.59607494,6510,46.564,0.78,-0.182706311,-0.319075227,-0.090740047,20882982
"Escherichia coli","Sweden","Northern","SE",2007,0.007267833,15.0706,4322,53700.00534,8.06,16.94321185,51970,15.412,0.905,2.244637012,2.025398016,1.909889698,9148092
"Escherichia coli","Slovenia","Southern","SI",2007,0.023501763,13.4478,1794,23787.64669,7.49,13.63123655,21790,48.017,0.873,1.009254336,0.936191022,0.923824251,2018122
"Escherichia coli","United Kingdom","Northern","UK",2007,0.039511912,14.4717,3740,50566.8266,7.41,10.40985957,47650,19.521,0.892,1.742208004,1.648174167,1.737427235,61322463
"Escherichia coli","Austria","Western","AT",2008,0.024365482,13.2868,5037,51708.76575,9.73,18.24393272,49110,42.034,0.884,1.843034983,1.780839682,1.922994852,8321496
