Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Aruba;0.857202649;0.82051301;0.839393795;0.855813384;1.433195233;1.422983408;1.330820918;1.316214681;1.299766183;1.038311601;1.261026502;1.261744976;1.330984116;1.296759367
Andorra;0.976217151;0.865921497;1.182821274;1.196157694;1.224501491;1.204553246;1.407835245;1.407764435;1.40904355;1.641952872;1.575988412;1.577924609;1.601330161;1.606789231
Afghanistan;-1.658668041;-1.863188624;-1.829666138;-1.864379525;-1.847092271;-1.845436454;-1.896631718;-1.643164515;-1.597314;-1.445647597;-1.50404036;-1.498189807;-1.569692254;-1.668020964
Angola;-1.427660942;-1.300314307;-1.365903616;-1.366982222;-1.230835199;-1.265286922;-1.265381217;-1.269548297;-1.267903686;-1.118136406;-1.081931829;-1.087320447;-1.104260445;-1.047832251
Anguilla;1.64484477;1.599525094;1.636582851;1.670905709;1.400128007;1.382128716;1.360597372;1.364445925;1.36789608;0.018862573;-0.039253257;-0.084585093;-0.104195483;-0.098900542
Albania;-0.736335754;-0.684768975;-0.646295726;-0.588694632;-0.500429869;-0.407375962;-0.455371141;-0.520316482;-0.51801759;-0.337862045;-0.328229219;-0.328867257;-0.401743025;-0.392333895
Netherlands Antilles (former);0.857202649;0.82051301;0.839393795;0.728283584;0.847266793;0.853352845;0.836833298;0.8404392;0.848268986;;;;;
United Arab Emirates;0.398342997;0.319920212;0.285038143;0.424307644;0.404846251;0.323019534;0.504775703;0.53951031;0.619023621;0.652227223;0.640868127;0.849040985;0.79766947;0.805842459
Argentina;-0.554654777;-0.568944037;-0.591604114;-0.676608086;-0.675477803;-0.590508997;-0.560893416;-0.67968142;-0.707676113;-0.886034548;-0.770812035;-0.393605947;-0.245610923;-0.242866561
Armenia;-0.400249153;-0.546435356;-0.498376489;-0.340526551;-0.475851953;-0.488639891;-0.440966725;-0.417913109;-0.344212234;-0.365905493;-0.387852967;-0.119129643;-0.155574605;-0.150221005
